Category,Year,Title,Name,一言概要,Info (詳細情報),Link
論文,2024,Development of an equiatomic octonary TiNbTaZrMoHfWCr super-high-entropy alloy for biomedical applications,"Tadaaki Matsuzaka, Akira Hyakubu, Yong Seong Kim, Aira Matsugaki, Takeshi Nagase, Takuya Ishimoto, Ryosuke Ozasa, Hyoung Seop Kim, Tomoji Mizuguchi, Ozkan Gokcekaya, Takayoshi Nakano",Materials Chemistry and Physics,"Tadaaki Matsuzaka, Akira Hyakubu, Yong Seong Kim, Aira Matsugaki, Takeshi Nagase, Takuya Ishimoto, Ryosuke Ozasa, Hyoung Seop Kim, Tomoji Mizuguchi, Ozkan Gokcekaya, Takayoshi Nakano*: Development of an equiatomic octonary TiNbTaZrMoHfWCr super-high-entropy alloy for biomedical applications, Materials Chemistry and Physics, 316, (2024), 129120. DOI: https://doi.org/10.1016/j.matchemphys.2024.129120",https://www.sciencedirect.com/science/article/pii/S0254058424002451
論文,2024,Adaptive enhancement of apatite crystal orientation and Young's modulus under elevated load in rat ulnar cortical bone,"Jun Wang, Takuya Ishimoto, Tadaaki Matsuzaka, Aira Matsugaki, Ryosuke Ozasa, Takuya Matsumoto, Mikako Hayashi, Hyoung Seop Kim, Takayoshi Nakano",Bone,"Jun Wang, Takuya Ishimoto, Tadaaki Matsuzaka, Aira Matsugaki, Ryosuke Ozasa, Takuya Matsumoto, Mikako Hayashi, Hyoung Seop Kim, Takayoshi Nakano*: Adaptive enhancement of apatite crystal orientation and Young's modulus under elevated load in rat ulnar cortical bone, Bone, 181, (2024), 117024. DOI: https://doi.org/10.1016/j.bone.2024.117024",https://www.sciencedirect.com/science/article/pii/S8756328224000139
論文,2024,PBF-LB fabrication of microgrooves for induction of osteogenic differentiation of human mesenchymal stem cells,"Aira Matsugaki, Tadaaki Matsuzaka, Toko Mori, Mitsuka Saito, Kazuma Funaoku, Riku Yamano, Ozkan Gokcekaya, Ryosuke Ozasa, Takayoshi Nakano",International Journal of Bioprinting,"Aira Matsugaki, Tadaaki Matsuzaka, Toko Mori, Mitsuka Saito, Kazuma Funaoku, Riku Yamano, Ozkan Gokcekaya, Ryosuke Ozasa, Takayoshi Nakano*: PBF-LB fabrication of microgrooves for induction of osteogenic differentiation of human mesenchymal stem cells, International Journal of Bioprinting, 10, (2024), 1425. DOI: https://doi.org/10.36922/ijb.1425",https://www.accscience.com/journal/IJB/10/1/10.36922/ijb.1425
論文,2023,Review—Metal Additive Manufacturing of Titanium Alloys for Control of Hard Tissue Compatibility,"Aira Matsugaki, Tadaaki Matsuzaka, Takayoshi Nakano",Materials Transactions,"Aira Matsugaki, Tadaaki Matsuzaka, Takayoshi Nakano*: Review—Metal Additive Manufacturing of Titanium Alloys for Control of Hard Tissue Compatibility, Materials Transactions, 64, (2023), 25-30. DOI: https://doi.org/10.2320/matertrans.MT-MLA2022012",0
論文,2023,Innovative design of bone quality-targeted intervertebral spacer: accelerated functional fusion guiding oriented collagen and apatite microstructure without autologous bone graft,"Aira Matsugaki, Manabu Ito, Yoshiya Kobayashi, Tadaaki Matsuzaka, Ryosuke Ozasa, Takuya Ishimoto, Hiroyuki Takahashi, Ryota Watanabe, Takayuki Inoue, Katsuhiko Yokota, Yoshio Nakashima, Takashi Kaito, Seiji Okada, Takao Hanawa, Yukihiro Matsuyama, Morio Matsumoto, Hiroshi Taneichi, Takayoshi Nakano",The Spine Journal,"Aira Matsugaki, Manabu Ito, Yoshiya Kobayashi, Tadaaki Matsuzaka, Ryosuke Ozasa, Takuya Ishimoto, Hiroyuki Takahashi, Ryota Watanabe, Takayuki Inoue, Katsuhiko Yokota, Yoshio Nakashima, Takashi Kaito, Seiji Okada, Takao Hanawa, Yukihiro Matsuyama, Morio Matsumoto, Hiroshi Taneichi, Takayoshi Nakano*: Innovative design of bone quality-targeted intervertebral spacer: accelerated functional fusion guiding oriented collagen and apatite microstructure without autologous bone graft, The Spine Journal, 23, (2023), 609-620. DOI: https://doi.org/10.1016/j.spinee.2022.12.011",https://www.sciencedirect.com/science/article/pii/S1529943022010701
論文,2023,Quantitative Threshold Determination of Auditory Brainstem Responses in Mouse Models,"Kenji Tanaka, Shuma Ohara, Tadaaki Matsuzaka, Aira Matsugaki, Takuya Ishimoto, Ryosuke Ozasa, Yukiko Kuroda, Koichi Matsuo, Takayoshi Nakano",International Journal of Molecular Sciences,"Kenji Tanaka, Shuma Ohara, Tadaaki Matsuzaka, Aira Matsugaki, Takuya Ishimoto, Ryosuke Ozasa, Yukiko Kuroda, Koichi Matsuo, Takayoshi Nakano*: Quantitative Threshold Determination of Auditory Brainstem Responses in Mouse Models, International Journal of Molecular Sciences, 24, (2023), 11393. DOI: https://doi.org/10.3390/ijms241411393",https://www.mdpi.com/1422-0067/24/14/11393
論文,2022,Outstanding in vivo mechanical integrity of additively manufactured spinal cages with a novel “honeycomb tree structure” design via guiding bone matrix orientation,"Takuya Ishimoto, Yoshiya Kobayashi, Masahiko Takahata, Manabu Ito, Aira Matsugaki, Hiroyuki Takahashi, Ryota Watanabe, Takayuki Inoue, Tadaaki Matsuzaka, Ryosuke Ozasa, Takao Hanawa, Katsuhiko Yokota, Yoshio Nakashima, Takayoshi Nakano",The Spine Journal,"Takuya Ishimoto, Yoshiya Kobayashi, Masahiko Takahata, Manabu Ito, Aira Matsugaki, Hiroyuki Takahashi, Ryota Watanabe, Takayuki Inoue, Tadaaki Matsuzaka, Ryosuke Ozasa, Takao Hanawa, Katsuhiko Yokota, Yoshio Nakashima, Takayoshi Nakano*: Outstanding in vivo mechanical integrity of additively manufactured spinal cages with a novel “honeycomb tree structure” design via guiding bone matrix orientation, The Spine Journal, 22, (2022), 1742-1757. DOI: https://doi.org/10.1016/j.spinee.2022.05.006",https://www.sciencedirect.com/science/article/pii/S1529943022002340
論文,2021,Control of osteoblast arrangement by osteocyte mechanoresponse through prostaglandin E2 signaling under oscillatory fluid flow stimuli,"Tadaaki Matsuzaka, Aira Matsugaki, Takayoshi Nakano",Biomaterials,"Tadaaki Matsuzaka, Aira Matsugaki, Takayoshi Nakano*: Control of osteoblast arrangement by osteocyte mechanoresponse through prostaglandin E2 signaling under oscillatory fluid flow stimuli, Biomaterials, 279, (2021), 121203. DOI: https://doi.org/10.1016/j.biomaterials.2021.121203",https://www.sciencedirect.com/science/article/pii/S0142961221005603
論文,2021,Fabrication of Ti-Alloy Powder/Solid Composite with Uniaxial Anisotropy by Introducing Unidirectional Honeycomb Structure via Electron Beam Powder Bed Fusion,"Naoko Ikeo, Tatsuya Matsumi, Takuya Ishimoto, Ryosuke Ozasa, Aira Matsugaki, Tadaaki Matsuzaka, Ozkan Gokcekaya, Yorinobu Takigawa, Takayoshi Nakano",Crystals,"Naoko Ikeo, Tatsuya Matsumi, Takuya Ishimoto, Ryosuke Ozasa, Aira Matsugaki, Tadaaki Matsuzaka, Ozkan Gokcekaya, Yorinobu Takigawa, Takayoshi Nakano*: Fabrication of Ti-Alloy Powder/Solid Composite with Uniaxial Anisotropy by Introducing Unidirectional Honeycomb Structure via Electron Beam Powder Bed Fusion, Crystals, 11, (2021), 1074. DOI: https://doi.org/10.3390/cryst11091074",https://www.mdpi.com/2073-4352/11/9/1074
論文,2021,3D Puzzle in Cube Pattern for Anisotropic/Isotropic Mechanical Control of Structure Fabricated by Metal Additive Manufacturing,"Naoko Ikeo, Hidetsugu Fukuda, Aira Matsugaki, Toru Inoue, Ai Serizawa, Tadaaki Matsuzaka, Takuya Ishimoto, Ryosuke Ozasa, Ozkan Gokcekaya, Takayoshi Nakano",Crystals,"Naoko Ikeo, Hidetsugu Fukuda, Aira Matsugaki, Toru Inoue, Ai Serizawa, Tadaaki Matsuzaka, Takuya Ishimoto, Ryosuke Ozasa, Ozkan Gokcekaya, Takayoshi Nakano*: 3D Puzzle in Cube Pattern for Anisotropic/Isotropic Mechanical Control of Structure Fabricated by Metal Additive Manufacturing, Crystals, 11, (2021), 959. DOI: https://doi.org/10.3390/cryst11080959",https://www.mdpi.com/2073-4352/11/8/959
